,num,title,date,status,stream,area,wg,area2,key words,drafts count
39,7505,"A ""Null MX"" No Service Resource Record for Domains That Accept No Mail", June 2015 , PROPOSED STANDARD, IETF, art, appsawg,DNS,"DNS, e-mail",14
40,7477,Child-to-Parent Synchronization in DNS, March 2015 , PROPOSED STANDARD, IETF, ops, dnsop,DNS,,11
41,7393,Using the Port Control Protocol (PCP) to Update Dynamic DNS, November 2014 , INFORMATIONAL, INDEPENDENT,,,DNS,"address sharing, CGN, service continuity, service availability, user-generated content, address-sharing issues, DS-Lite, service delivery in CGN contexts",7
42,7344,Automating DNSSEC Delegation Trust Maintenance, September 2014 , PROPOSED STANDARD, IETF, ops, dnsop,DNS,"key roll, trust anchor, CDS, CDNSKEY, DNSSEC, DNS",21
43,7314,Extension Mechanisms for DNS (EDNS) EXPIRE Option, July 2014 , EXPERIMENTAL, INDEPENDENT,,,DNS,"IXFR, AXFR, zone, transfer, DNS, SOA",5
44,7218,Adding Acronyms to Simplify Conversations about DNS-Based Authentication of Named Entities (DANE), April 2014 , PROPOSED STANDARD, IETF, sec, dane,DNS,"DNSSEC, DANE, Applications",5
45,7216,Location Information Server (LIS) Discovery Using IP Addresses and Reverse DNS, April 2014 , PROPOSED STANDARD, IETF, rai, geopriv,DNS,"HELD, LIS, Discovery, NAT, Residential Gateway",14
46,7129,Authenticated Denial of Existence in the DNS, February 2014 , INFORMATIONAL, INDEPENDENT,,,DNS,"Internet, DNSSEC, Denial of Existence, NSEC, NSEC3",7
47,7085,Top-Level Domains That Are Already Dotless, December 2013 , INFORMATIONAL, INDEPENDENT,,,DNS,DNS,6
48,7043,Resource Records for EUI-48 and EUI-64 Addresses in the DNS, October 2013 , INFORMATIONAL, IETF,, NON WORKING GROUP,DNS,"IEEE, ethernet",8
49,6975,Signaling Cryptographic Algorithm Understanding in DNS Security Extensions (DNSSEC), July 2013 , PROPOSED STANDARD, IETF, int, dnsext,DNS,"DNS, DNSSEC, EDNS",11
50,6950,Architectural Considerations on Application Features in the DNS, October 2013 , INFORMATIONAL, IAB,,,DNS,,8
51,6944,Applicability Statement: DNS Security (DNSSEC) DNSKEY Algorithm Implementation Status, April 2013 , PROPOSED STANDARD, IETF, int, dnsext,DNS,,6
52,6927,Variants in Second-Level Names Registered in Top-Level Domains, May 2013 , INFORMATIONAL, INDEPENDENT,,,DNS,"DNS, variant, TLDs",7
53,6912,Principles for Unicode Code Point Inclusion in Labels in the DNS, April 2013 , INFORMATIONAL, IAB,,,DNS,,3
54,6895,Domain Name System (DNS) IANA Considerations, April 2013 , BEST CURRENT PRACTICE, IETF, int, dnsext,DNS,"RRTYPE, RCODE, AFSDB",8
55,6891,Extension Mechanisms for DNS (EDNS(0)), April 2013 , INTERNET STANDARD, IETF, int, dnsext,DNS,"DNS extensions, domain name system, resource records, opt",12
56,6844,DNS Certification Authority Authorization (CAA) Resource Record, January 2013 , PROPOSED STANDARD, IETF, sec, pkix,DNS,"[--------], DNS, DNSSEC, PKIX",21
57,6841,A Framework for DNSSEC Policies and DNSSEC Practice Statements, January 2013 , INFORMATIONAL, IETF, ops, dnsop,DNS,"DNS, DNSSEC, DP, DPS",14
58,6840,Clarifications and Implementation Notes for DNS Security (DNSSEC), February 2013 , PROPOSED STANDARD, IETF, int, dnsext,DNS,"EAP, AAA, reconnect",22
59,6804,DISCOVER: Supporting Multicast DNS Queries, November 2012 , HISTORIC, INDEPENDENT,,,DNS,,8
60,6781,"DNSSEC Operational Practices, Version 2", December 2012 , INFORMATIONAL, IETF, ops, dnsop,DNS,"DNSSEC, operational, key rollover",14
61,6763,DNS-Based Service Discovery, February 2013 , PROPOSED STANDARD, IETF,, NON WORKING GROUP,DNS,,13
62,6762,Multicast DNS, February 2013 , PROPOSED STANDARD, IETF,, NON WORKING GROUP,DNS,,16
63,6742,DNS Resource Records for the Identifier-Locator Network Protocol (ILNP), November 2012 , EXPERIMENTAL, IRTF,,,DNS,,7
64,6731,Improved Recursive DNS Server Selection for Multi-Interfaced Nodes, December 2012 , PROPOSED STANDARD, IETF, int, mif,DNS,"DNS, RDNSS, interface, FQDN, selection",21
65,6725,DNS Security (DNSSEC) DNSKEY Algorithm IANA Registry Updates, August 2012 , PROPOSED STANDARD, IETF, int, dnsext,DNS,[--------],6
66,6672,DNAME Redirection in the DNS, June 2012 , PROPOSED STANDARD, IETF, int, dnsext,DNS,[--------],27
67,6641,Using DNS SRV to Specify a Global File Namespace with NFS Version 4, June 2012 , PROPOSED STANDARD, IETF, tsv, nfsv4,DNS,"[--------], domainroot, domain root file system",18
68,6605,Elliptic Curve Digital Signature Algorithm (DSA) for DNSSEC, April 2012 , PROPOSED STANDARD, IETF, int, dnsext,DNS,"[--------], dnskey algorithm, ds hash algo, crypto, DNS key, DNSKEY algorithm, DS, digest hash cryptography, SHA-384, ECDSAP256SHA256, ECDSAP384SHA384",8
69,6604,xNAME RCODE and Status Bits Clarification, April 2012 , PROPOSED STANDARD, IETF, int, dnsext,DNS,"[--------], DNS, DNSSEC, CNAME, DNAME, Domain Name, response code, canonical name",7
70,6471,Overview of Best Email DNS-Based List (DNSBL) Operational Practices, January 2012 , INFORMATIONAL, IRTF,,,DNS,DNSBL policy,11
71,6418,Multiple Interfaces and Provisioning Domains Problem Statement, November 2011 , INFORMATIONAL, IETF, int, mif,DNS,"multi-homing, MIF, DNS, DHCP",18
72,6304,AS112 Nameserver Operations, July 2011 , INFORMATIONAL, IETF, ops, dnsop,DNS,"DNS, RFC1918",10
73,6303,Locally Served DNS Zones, July 2011 , BEST CURRENT PRACTICE, IETF, ops, dnsop,DNS,"[--------], AS112,  Reverse,  IN-ADDR.ARPA,  IP6.ARPA,  RFC1918",16
74,6195,Domain Name System (DNS) IANA Considerations, March 2011 , BEST CURRENT PRACTICE, IETF, int, dnsext,DNS,"[--------], RRTYPE, RCODE, AFSDB",4
75,6168,Requirements for Management of Name Servers for the DNS, May 2011 , INFORMATIONAL, IETF, ops, dnsop,DNS,"DNS, Domain Name System, Management",10
76,6116,The E.164 to Uniform Resource Identifiers (URI) Dynamic Delegation Discovery System (DDDS) Application (ENUM), March 2011 , PROPOSED STANDARD, IETF, rai, enum,DNS,"[--------], DNS, E.164, NAPTR, dynamic delegation discovery system, e164.arpa",10
77,6014,Cryptographic Algorithm Identifier Allocation for DNSSEC, November 2010 , PROPOSED STANDARD, IETF, int, dnsext,DNS,"[--------], DNSSEC, digital signatures, algorithms",4
78,5966,DNS Transport over TCP - Implementation Requirements, August 2010 , PROPOSED STANDARD, IETF, int, dnsext,DNS,"[--------], DNS, TCP/IP",4
79,5936,DNS Zone Transfer Protocol (AXFR), June 2010 , PROPOSED STANDARD, IETF, int, dnsext,DNS,"[--------], authoritative transfer, AXFR mechanism",15
80,5933,Use of GOST Signature Algorithms in DNSKEY and RRSIG Resource Records for DNSSEC, July 2010 , PROPOSED STANDARD, IETF, int, dnsext,DNS,"[--------], domain name system security extensions, ECC",10
81,5864,DNS SRV Resource Records for AFS, April 2010 , PROPOSED STANDARD, IETF,, NON WORKING GROUP,DNS,"[--------], domain name system, srv rr, distributed file system, afsdb rr",6
82,5782,DNS Blacklists and Whitelists, February 2010 , INFORMATIONAL, IRTF,,,DNS,"mail, electronic mail, DNS, spam, blacklist, whitelist",9
83,5702,Use of SHA-2 Algorithms with RSA in DNSKEY and RRSIG Resource Records for DNSSEC, October 2009 , PROPOSED STANDARD, IETF, int, dnsext,DNS,"[--------], DNSSEC, RSA, SHA-256, SHA-512",15
84,5679,Locating IEEE 802.21 Mobility Services Using DNS, December 2009 , PROPOSED STANDARD, IETF, int, mipshop,DNS,"[--------], domain name server, handover preparation, handover decision, media independent handover services",8
85,5625,DNS Proxy Implementation Guidelines, August 2009 , BEST CURRENT PRACTICE, IETF, int, dnsext,DNS,"[--------], DNS, Proxy",8
86,5507,Design Choices When Expanding the DNS, April 2009 , INFORMATIONAL, IAB,,,DNS,"domain name system, resource record type",9
87,5483,ENUM Implementation Issues and Experiences, March 2009 , INFORMATIONAL, IETF, rai, enum,DNS,"DNS, E.164, NAPTR, dynamic delegation discovery system",14
88,5452,Measures for Making DNS More Resilient against Forged Answers, January 2009 , PROPOSED STANDARD, IETF, int, dnsext,DNS,"[--------], spoofing, source port, hardening",11
89,5395,Domain Name System (DNS) IANA Considerations, November 2008 , BEST CURRENT PRACTICE, IETF, int, dnsext,DNS,"[--------], RRTYPE, RCODE, AFSDB",8
90,5346,Operational Requirements for ENUM-Based Softswitch Use, October 2008 , INFORMATIONAL, IETF, rai, enum,DNS,"Applications, ENUM, DNS, E.164, NAPTR, Softswitch, Field Trial",7
91,5205,Host Identity Protocol (HIP) Domain Name System (DNS) Extensions, April 2008 , EXPERIMENTAL, IETF, int, hip,DNS,"[--------], hip, host identity protocol, host identity payload, dns, domain name system",10
92,5158,6to4 Reverse DNS Delegation Specification, March 2008 , INFORMATIONAL, IETF,, NON WORKING GROUP,DNS,"dns, domain name system",8
93,5155,DNS Security (DNSSEC) Hashed Authenticated Denial of Existence, March 2008 , PROPOSED STANDARD, IETF, int, dnsext,DNS,"[--------], domain name system, nsec, resource record, nsec3",14
94,5074,DNSSEC Lookaside Validation (DLV), November 2007 , INFORMATIONAL, IETF,, NON WORKING GROUP,DNS,"dns security, trust anchors",5
95,5011,Automated Updates of DNS Security (DNSSEC) Trust Anchors, September 2007 , INTERNET STANDARD, IETF, int, dnsext,DNS,"[--------|s], n-1 key, n keys",7
96,5001,DNS Name Server Identifier (NSID) Option, August 2007 , PROPOSED STANDARD, IETF, int, dnsext,DNS,"[--------|p], domain name space, namespace",6
97,4986,Requirements Related to DNS Security (DNSSEC) Trust Anchor Rollover, August 2007 , INFORMATIONAL, IETF, int, dnsext,DNS,dns signed zone,5
98,4956,DNS Security (DNSSEC) Opt-In, July 2007 , EXPERIMENTAL, IETF, int, dnsext,DNS,"[--------|e], domain namespace",10
99,4955,DNS Security (DNSSEC) Experiments, July 2007 , PROPOSED STANDARD, IETF, int, dnsext,DNS,"[--------|p], domain namespace",5
100,4892,Requirements for a Mechanism Identifying a Name Server Instance, June 2007 , INFORMATIONAL, IETF, ops, dnsop,DNS,"domain name service, dns name server",8
101,4870,Domain-Based Email Authentication Using Public Keys Advertised in the DNS (DomainKeys), May 2007 , HISTORIC, IETF,, NON WORKING GROUP,DNS,,7
102,4759,"The ENUM Dip Indicator Parameter for the ""tel"" URI", December 2006 , PROPOSED STANDARD, IETF, rai, iptel,DNS,"[--------|p], DNS, E.164, telephone number",6
103,4703,Resolution of Fully Qualified Domain Name (FQDN) Conflicts among Dynamic Host Configuration Protocol (DHCP) Clients, October 2006 , PROPOSED STANDARD, IETF, int, dhc,DNS,"[--------|p], dynamic assignment, dns, dhcid dns rr",13
104,4701,A DNS Resource Record (RR) for Encoding Dynamic Host Configuration Protocol (DHCP) Information (DHCID RR), October 2006 , PROPOSED STANDARD, IETF, int, dnsext,DNS,"[--------|p], dns fqdn, fully qualified domain name",14
105,4697,Observed DNS Resolution Misbehavior, October 2006 , BEST CURRENT PRACTICE, IETF, ops, dnsop,DNS,"[--------|b], domain name system, tld, top level domain",7
106,4641,DNSSEC Operational Practices, September 2006 , INFORMATIONAL, IETF, ops, dnsop,DNS,"dns, domain name space, security extensions, zone administrator, DNS-SOC, cryptology, resource records, rrs",9
107,4635,"HMAC SHA (Hashed Message Authentication Code, Secure Hash Algorithm) TSIG Algorithm Identifiers", August 2006 , PROPOSED STANDARD, IETF, int, dnsext,DNS,"[--------|p], dns, resource record, rr, cryptographic message authentication code, cmac",7
108,4509,Use of SHA-256 in DNSSEC Delegation Signer (DS) Resource Records (RRs), May 2006 , PROPOSED STANDARD, IETF, int, dnsext,DNS,"[--------|p], domain name system, dns, dnskey",6
109,4501,Domain Name System Uniform Resource Identifiers, May 2006 , PROPOSED STANDARD, IETF,, NON WORKING GROUP,DNS,"[--------|p], dns, uri",14
110,4471,Derivation of DNS Name Predecessor and Successor, September 2006 , EXPERIMENTAL, IETF, int, dnsext,DNS,"[--------|e], domain namespace, dynamic nsec, dnssec",4
111,4470,Minimally Covering NSEC Records and DNSSEC On-line Signing, April 2006 , PROPOSED STANDARD, IETF, int, dnsext,DNS,"[--------|p], dns security, domain name system",5
112,4431,The DNSSEC Lookaside Validation (DLV) DNS Resource Record, February 2006 , INFORMATIONAL, IETF,, NON WORKING GROUP,DNS,"dns, domain name space",2
113,4398,Storing Certificates in the Domain Name System (DNS), March 2006 , PROPOSED STANDARD, IETF, int, dnsext,DNS,"[SC-DNS|p], cryptology, authenticity",10
114,4386,Internet X.509 Public Key Infrastructure Repository Locator Service, February 2006 , EXPERIMENTAL, IETF, sec, pkix,DNS,"[--------|e], pki, public key infrastructure, dns srv",5
115,4367,What's in a Name: False Assumptions about DNS Names, February 2006 , INFORMATIONAL, IAB,,,DNS,domain name system,4
116,4343,Domain Name System (DNS) Case Insensitivity Clarification, January 2006 , PROPOSED STANDARD, IETF, int, dnsext,DNS,[--------|p],7
117,4322,Opportunistic Encryption using the Internet Key Exchange (IKE), December 2005 , INFORMATIONAL, IETF,, NON WORKING GROUP,DNS,"oe, linux frees/wan, ipsec, dns, domain name space, dns security",18
118,4185,National and Local Characters for DNS Top Level Domain (TLD) Names, October 2005 , INFORMATIONAL, INDEPENDENT,,,DNS,"domain name system, multilingual, internationalized, local translation",6
119,4183,A Suggested Scheme for DNS Resolution of Networks and Gateways, September 2005 , INFORMATIONAL, INDEPENDENT,,,DNS,"domain name space, ip address, internet protocol address, netmask, first-hop router, subnet",6
120,4143,Facsimile Using Internet Mail (IFAX) Service of ENUM, November 2005 , PROPOSED STANDARD, IETF, app, fax,DNS,"[--------|p], naptr, enum naming authority pointer, facsimile using internet mail, dns, domain name system",4
121,4035,Protocol Modifications for the DNS Security Extensions, March 2005 , PROPOSED STANDARD, IETF, int, dnsext,DNS," [--------|p], domain name system, authentication, origin integrity, dnssec, domain name system security extensions ",10
122,4034,Resource Records for the DNS Security Extensions, March 2005 , PROPOSED STANDARD, IETF, int, dnsext,DNS," [--------|p], domain name system, authentication, origin integrity, dnssec, domain name system security extensions ",12
123,4033,DNS Security Introduction and Requirements, March 2005 , PROPOSED STANDARD, IETF, int, dnsext,DNS," [--------|p], domain name system, authentication, origin integrity, dnssec, domain name system security extensions ",14
124,4027,Domain Name System Media Types, April 2005 , INFORMATIONAL, IETF,, NON WORKING GROUP,DNS,"media type, application/dns, text/dns",3
125,4025,A Method for Storing IPsec Keying Material in DNS, March 2005 , PROPOSED STANDARD, IETF, sec, ipseckey,DNS, [--------|p] ,13
126,3845,DNS Security (DNSSEC) NextSECure (NSEC) RDATA Format, August 2004 , PROPOSED STANDARD, IETF, int, dnsext,DNS," dnssec, DNS Security, rr, resource record, DNS-SECEXT, dns, authentication, nsec, nextsecure ",7
127,3833,Threat Analysis of the Domain Name System (DNS), August 2004 , INFORMATIONAL, IETF, int, dnsext,DNS," data disclosure, security, authentication ",8
128,3832,Remote Service Discovery in the Service Location Protocol (SLP) via DNS SRV, July 2004 , EXPERIMENTAL, IETF,, NON WORKING GROUP,DNS," [DNS-SRV|e], domain, name, system, resource, record ",7
129,3757,Domain Name System KEY (DNSKEY) Resource Record (RR) Secure Entry Point (SEP) Flag, April 2004 , PROPOSED STANDARD, IETF, int, dnsext,DNS, dnssec ,12
130,3755,Legacy Resolver Compatibility for Delegation Signer (DS), May 2004 , PROPOSED STANDARD, IETF, int, dnsext,DNS," dnssec, DNS Security, rr, resource record, DNS-SECEXT, dns, authentication, nsec, nextsecure ",7
131,3681,Delegation of E.F.F.3.IP6.ARPA, January 2004 , BEST CURRENT PRACTICE, IETF,, NON WORKING GROUP,DNS,"dns, domain name system ",2
132,3658,Delegation Signer (DS) Resource Record (RR), December 2003 , PROPOSED STANDARD, IETF, int, dnsext,DNS," zone cut, zone key, security, dns, domain name system ",16
133,3655,Redefinition of DNS Authenticated Data (AD) bit, November 2003 , PROPOSED STANDARD, IETF, int, dnsext,DNS," DNS-SECEXT, dns, authentication ",7
134,3645,Generic Security Service Algorithm for Secret Key Transaction Authentication for DNS (GSS-TSIG), October 2003 , PROPOSED STANDARD, IETF, int, dnsext,DNS," [--------|p], TSIG, domain name system, transaction, signature ",7
135,3597,Handling of Unknown DNS Resource Record (RR) Types, September 2003 , PROPOSED STANDARD, IETF, int, dnsext,DNS," [--------|p], domain name system, name server software, compression, transparency ",7
136,3596,DNS Extensions to Support IP Version 6, October 2003 , INTERNET STANDARD, IETF, int, dnsext,DNS,"internet protocol, domain name system, DNS, zone ",4
137,3467,Role of the Domain Name System (DNS), February 2003 , INFORMATIONAL, IETF,, NON WORKING GROUP,DNS," history, internationalization, unicode, ascii, multilingual names ",6
138,3445,Limiting the Scope of the KEY Resource Record (RR), December 2002 , PROPOSED STANDARD, IETF, int, dnsext,DNS," DNS-SECEXT, dns, authentication ",5
139,3425,Obsoleting IQUERY, November 2002 , PROPOSED STANDARD, IETF, int, dnsext,DNS," [--------|p], dns lookups, domain ",5
140,3403,Dynamic Delegation Discovery System (DDDS) Part Three: The Domain Name System (DNS) Database, October 2002 , PROPOSED STANDARD, IETF, app, urn,DNS," [NAPTR|p], domain name system, RR ",10
141,3397,Dynamic Host Configuration Protocol (DHCP) Domain Search Option, November 2002 , PROPOSED STANDARD, IETF,, NON WORKING GROUP,DNS," [--------|p], dns, client, client server ",10
142,3258,Distributing Authoritative Name Servers via Shared Unicast Addresses, April 2002 , INFORMATIONAL, IETF, ops, dnsop,DNS," dns, network, topology, latency ",8
143,3225,Indicating Resolver Support of DNSSEC, December 2001 , PROPOSED STANDARD, IETF, int, dnsext,DNS," [--------|p], domain, name, system, security, extensions ",4
144,3197,Applicability Statement for DNS MIB Extensions, November 2001 , INFORMATIONAL, IETF, int, dnsext,DNS," DNS-R-MIB, Domain, Name, System, Management, Information, Base ",1
145,3172,"Management Guidelines &amp; Operational Requirements for the Address and Routing Parameter Area Domain (""arpa"")", September 2001 , BEST CURRENT PRACTICE, IAB,,,DNS," database, DNS, domain, name, system ",4
146,3152,Delegation of IP6.ARPA, August 2001 , BEST CURRENT PRACTICE, Legacy,,,DNS," internet, protocol, domain, name, system, DNS, zone ",3
147,3130,Notes from the State-Of-The-Technology: DNSSEC, June 2001 , INFORMATIONAL, Legacy,,,DNS," domain, name, system, security, extensions, report ",3
148,3123,A DNS RR Type for Lists of Address Prefixes (APL RR), June 2001 , EXPERIMENTAL, IETF, int, dnsext,DNS," [--------|e], domain, name, system, resource, record ",3
149,3110,RSA/SHA-1 SIGs and RSA KEYs in the Domain Name System (DNS), May 2001 , PROPOSED STANDARD, IETF, int, dnsext,DNS," [--------|p], RRs, resource, records, security ",4
150,3090,DNS Security Extension Clarification on Zone Status, March 2001 , PROPOSED STANDARD, IETF, int, dnsext,DNS," domain, name, system, rsa, dsa ",6
151,3071,"Reflections on the DNS, RFC 1591, and Categories of Domains", February 2001 , INFORMATIONAL, Legacy,,,DNS," DNS, Policy, Top-Level, TLD ",5
152,3026,Liaison to IETF/ISOC on ENUM, January 2001 , INFORMATIONAL, Legacy,,,DNS," dns, domain, name, system, internet, security, engineering, task force, E.164, number ",1
153,3008,Domain Name System Security (DNSSEC) Signing Authority, November 2000 , PROPOSED STANDARD, IETF, int, dnsext,DNS," DNSSEC, authentication, validation, SIG, signature ",3
154,3007,Secure Domain Name System (DNS) Dynamic Update, November 2000 , PROPOSED STANDARD, IETF, int, dnsext,DNS," [--------|p], security, authentication, validation, DNSSEC ",3
155,2931,DNS Request and Transaction Signatures ( SIG(0)s ), September 2000 , PROPOSED STANDARD, IETF, int, dnsext,DNS," [--------|p], domain name system, data, security ",3
156,2930,Secret Key Establishment for DNS (TKEY RR), September 2000 , PROPOSED STANDARD, IETF, int, dnsext,DNS," [TKEY-RR|p], domain name system, resource record, transaction key ",5
157,2929,Domain Name System (DNS) IANA Considerations, September 2000 , BEST CURRENT PRACTICE, IETF, int, dnsext,DNS," internet assigned numbers authority, resource records, RRs ",4
158,2916,E.164 number and DNS, September 2000 , PROPOSED STANDARD, IETF, rai, enum,DNS," [--------|], domain name system ",10
159,2915,The Naming Authority Pointer (NAPTR) DNS Resource Record, September 2000 , PROPOSED STANDARD, IETF, app, urn,DNS," NAPTR, domain name system, RR ",5
160,2845,Secret Key Transaction Authentication for DNS (TSIG), May 2000 , PROPOSED STANDARD, IETF, int, dnsext,DNS," [TSIG|p], domain, name, system, transaction, signature ",1
161,2826,IAB Technical Comment on the Unique DNS Root, May 2000 , INFORMATIONAL, IAB,,,DNS," Internet Architecture Board, domain name, system ",1
162,2782,A DNS RR for specifying the location of services (DNS SRV), February 2000 , PROPOSED STANDARD, IETF, int, dnsext,DNS," [DNS-SRV|p], domain, name, system, resource, record ",6
163,2694,DNS extensions to Network Address Translators (DNS_ALG), September 1999 , INFORMATIONAL, IETF, tsv, nat,DNS," domain name, system, NATs, mapping ",5
164,2673,Binary Labels in the Domain Name System, August 1999 , HISTORIC, IETF, int, dnsind,DNS," [DNS|e], data ",6
165,2672,Non-Terminal DNS Name Redirection, August 1999 , PROPOSED STANDARD, IETF, int, dnsind,DNS," [--------|p], domain, name, system, dname, resource, records ",4
166,2671,Extension Mechanisms for DNS (EDNS0), August 1999 , PROPOSED STANDARD, IETF, int, dnsind,DNS,"[EDNS0|p], domain, name, system, resource, records, opt ",3
